_Не использовать;test1;test11;test111;
_Не использовать;test1;test11;test112;
_Не использовать;test2;test22;
Визит в офис;Действие;MNP;Переход номера в SIMSIM;
Визит в офис;Действие;Блокировка;Блокировка по желанию;Причина блокировки;
Визит в офис;Действие;Блокировка;Блокировка по утере;
Визит в офис;Действие;Блокировка;Разблокировка по желанию;Причина блокировки;
Визит в офис;Действие;Блокировка;Разблокировка по утере;
Визит в офис;Действие;Детализация;Предоставление детализации;
Визит в офис;Действие;Замена сим;Замена сим;
Визит в офис;Действие;Замена сим;Замена сим с разблокировкой;
Визит в офис;Действие;Переоформление;переоформление без возврата средств;
Визит в офис;Действие;Переоформление;Переоформление с переносом чредств;
Визит в офис;Действие;Переоформление;Перероформление с возвратом наличными;
Визит в офис;Действие;Претензия;претензия;
Визит в офис;Действие;Расторжение;Расторжение с возвратом наличными;
Визит в офис;Действие;Расторжение;Расторжение с возвратом средств на карту;
Визит в офис;Действие;Расторжение;Расторжение с переносом средств;
Визит в офис;Действие;Смена учётных данных;Изменение учётных данных;
Визит в офис;Действие;Смена учётных данных;Полная смена данных;
Визит в офис;Действие в DCCA;Детализация;нет;undefined;
Визит в офис;Действие в DCCA;Замена сим карты;нет;
Визит в офис;Действие в DCCA;Новое подключение;нет;
Визит в офис;Действие в DCCA;Переоформление;нет;
Визит в офис;Действие в DCCA;Расторжение;нет;
Визит в офис;Действие в DCCA;Снятие блокировки;нет;
Визит в офис;Заявка 969;Не верная иформация;В IVR;
Визит в офис;Заявка 969;Не верная иформация;В рекламе;
Визит в офис;Заявка 969;Не верная иформация;На портале знаний;
Визит в офис;Заявка 969;Не верная иформация;На сайте;
Визит в офис;Заявка 969;Не верная иформация;На упаковке, листовке и т.д.;
Визит в офис;Заявка 969;Не приходит смс-уведомление;От QIWI;
Визит в офис;Заявка 969;Не приходит смс-уведомление;От банка;
Визит в офис;Заявка 969;Не приходит смс-уведомление;От денежных переводов;
Визит в офис;Заявка 969;Не приходит смс-уведомление;От магазинов, такси и т.д.;
Визит в офис;Заявка 969;Не приходит смс-уведомление;От скидочных систем;
Визит в офис;Заявка 969;Не работают команды;Не работает USSD;
Визит в офис;Заявка 969;Не работают команды;Не работает короткий номер;
Визит в офис;Заявка 969;Не работают команды;Не работает личный кабинет;
Визит в офис;Заявка 969;Неверная тарификация;За голосовую связь в остальные страны  (без пакетов и опций);
Визит в офис;Заявка 969;Неверная тарификация;За голосовую связь на СНГ  (без пакетов и опций);
Визит в офис;Заявка 969;Неверная тарификация;За голосовую связь по Москве и обл  (без пакетов и опций);
Визит в офис;Заявка 969;Неверная тарификация;За голосовую связь по РФ  (без пакетов и опций);
Визит в офис;Заявка 969;Неверная тарификация;За интернет  (без пакетов и опций);
Визит в офис;Заявка 969;Неверная тарификация;За смс/ммс  (без пакетов и опций);
Визит в офис;Заявка 969;Неверная тарификация;Неправильно работает ПАКЕТ или ОПЦИЯ;
Визит в офис;Заявка 969;Нет подходщего классификатора;Заявка без классификатора;
Визит в офис;Заявка 969;Нет подходщего классификатора;Напишите в коммент. какой классификатор нужен;
Визит в офис;Заявка 969;Номер заблокирован по подозрению во фроде;Номер заблокирован;
Визит в офис;Заявка 969;Обслуживание;Неверная информация в  КЦ;
Визит в офис;Заявка 969;Обслуживание;Неверная информация в офисе ;
Визит в офис;Заявка 969;Обслуживание;Неверная информация от дилера;
Визит в офис;Заявка 969;Обслуживание;ОТКАЗЫВАЮТ В КЦ БИЛАЙНА;
Визит в офис;Заявка 969;Обслуживание;Хамство в КЦ;
Визит в офис;Заявка 969;Обслуживание;Хамство в офисе;
Визит в офис;Заявка 969;Обслуживание;Хамство дилера;
Визит в офис;Заявка 969;Письменная претензия;Претензия в свободной форме;
Визит в офис;Заявка 969;Платежи;Мобильные платежи и переводы;
Визит в офис;Заявка 969;Платежи;Ошибочный платеж больше 200 руб;
Визит в офис;Заявка 969;Платежи;Ошибочный платеж до 200 руб;
Визит в офис;Заявка 969;Проблемы с голосовой связью;Нет сигнала сети;
Визит в офис;Заявка 969;Проблемы с голосовой связью;Обрывы связи, недозвон;
Визит в офис;Заявка 969;Проблемы с голосовой связью;Плохая слышимость;
Визит в офис;Заявка 969;Проблемы с интернет;Нет подключения к интернет;
Визит в офис;Заявка 969;Проблемы с интернет;Низкая скорость;
Визит в офис;Заявка 969;Проблемы с контент провайдерами;Сервисы, подписки;
Визит в офис;Заявка 969;Проблемы с работой других услуг;Кто звонил;
Визит в офис;Заявка 969;Проблемы с работой других услуг;Не доставляются смс/ммс;
Визит в офис;Заявка 969;Проблемы с работой других услуг;Не отправляются смс/ммс;
Визит в офис;Заявка 969;Проблемы с работой других услуг;Пробемы с голосовой почтой;
Визит в офис;Заявка 969;Стартовый баланс;Меньше чем должен быть;
Визит в офис;Заявка 969;Стартовый баланс;Не активируется;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;&quot;Привет&quot;;Номер телефона: ;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;SMS мини ;Номер телефона: ;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;SMS оптимальный ;Номер телефона: ;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;SMS старт;Номер телефона: ;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;Будь в курсе;Номер телефона:;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;Все за 1200;Номер телефона: ;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;Все за 200;Номер телефона: ;
Входящий звонок;Действие 969;Подключение/отключение опций и услуг;Все за 600;Номер телефона: ;
